species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Ianthocincla cineracea,Garrulax cineraceus,Passeriformes,LC,No,Volant,49,6.8,Forest,Carnivore,Invertivore,25.17,20.2,12.8,6,6.7,32.6,86.3,5.7,77.7,96.1,Not threatened
Ianthocincla cinereiceps,Garrulax cinereiceps,Passeriformes,LC,No,Volant,49,6.8,Forest,Carnivore,Invertivore,28.52,20.2,12.8,6,6.7,32.6,86.3,5.7,77.7,96.1,Not threatened
Ianthocincla konkakinhensis,Garrulax konkakinhensis,Passeriformes,VU,No,Volant,76.7,4.3,Forest,Omnivore,Invertivore,15.34,22,15.5,5.8,7.5,39.1,96,4.1,91.9,117,Threatened
Ianthocincla lunulata,Garrulax lunulatus,Passeriformes,LC,No,Volant,82,6.7,Forest,Carnivore,Invertivore,31.46,28.9,19.3,6.3,7.2,39.5,105.1,7.1,98,125,Not threatened
Ianthocincla maxima,Garrulax maximus,Passeriformes,LC,No,Volant,120.5,6.4,Forest,Carnivore,Invertivore,31.3,31.1,20.7,7,7.8,43.9,132.8,8.7,126.6,175.5,Not threatened
Ianthocincla ocellata,Garrulax ocellatus,Passeriformes,LC,No,Volant,114,9.6,Forest,Omnivore,Omnivore,29.86,30.1,18.1,6.2,7.5,44.9,125.2,11.8,113.2,155.3,Not threatened
Ianthocincla rufogularis,Garrulax rufogularis,Passeriformes,LC,No,Volant,62.8,5.4,Forest,Omnivore,Invertivore,28.63,23,14.4,6.2,7,32.6,87.8,4.7,82,107.6,Not threatened
Ianthocincla sukatschewi,Garrulax sukatschewi,Passeriformes,VU,No,Volant,67.8,6.3,Forest,Omnivore,Omnivore,33.62,22.5,15.1,5.5,6.4,40,100.7,6.3,94.3,133.7,Threatened
Ibidorhyncha struthersii,Ibidorhyncha struthersii,Charadriiformes,LC,No,Volant,294,43.5,Riverine,Carnivore,Aquatic predator,35.52,79.3,63.8,5.3,6.4,46.4,231.2,100.8,131.2,112.4,Not threatened
Ibycter americanus,Ibycter americanus,Falconiformes,LC,No,Volant,624,26.2,Forest,Carnivore,Invertivore,-4.35,40.2,26.1,13.6,16.7,50.1,359.8,92.2,258.6,253.8,Not threatened
Icteria virens,Icteria virens,Passeriformes,LC,No,Volant,24.9,21.3,Forest,Carnivore,Invertivore,38.56,16.3,10.5,4.8,6.3,26.1,76.5,16.3,60.5,71.8,Not threatened
Icterus abeillei,Icterus abeillei,Passeriformes,LC,No,Volant,33,25.5,Forest,Omnivore,Invertivore,21.57,18.8,12.3,4.9,6,22.8,102.1,25.9,75.7,79.6,Not threatened
Icterus auratus,Icterus auratus,Passeriformes,LC,No,Volant,32.1,19.7,Woodland,Omnivore,Omnivore,19.93,20.2,13.2,4.7,6.4,23.5,94.6,19,77.3,93.6,Not threatened
Icterus auricapillus,Icterus auricapillus,Passeriformes,LC,No,Volant,32.2,21.4,Woodland,Omnivore,Omnivore,8.49,20.9,13,4.4,5.7,21.6,92,19.3,70.9,90.2,Not threatened
Icterus bonana,Icterus bonana,Passeriformes,VU,Yes,Volant,29,15.8,Forest,Omnivore,Omnivore,14.65,22.9,14.7,4.8,6.1,23.7,81.1,13,69.1,81,Threatened
Icterus bullockiorum,Icterus bullockiorum,Passeriformes,LC,No,Volant,37.9,26.3,Forest,Carnivore,Invertivore,38.26,20.4,13,4.8,6,23.9,97,25.3,71.2,77.5,Not threatened
Icterus cayanensis,Icterus cayanensis,Passeriformes,LC,No,Volant,35.4,15.6,Forest,Carnivore,Invertivore,-6.13,23.2,14.4,4.3,5.8,23.2,98.6,15.3,83.2,97.4,Not threatened
Icterus chrysater,Icterus chrysater,Passeriformes,LC,No,Volant,53.4,18.4,Woodland,Omnivore,Omnivore,10.74,25.7,15.9,6.1,8.2,26.4,96.2,17.7,78.5,97.6,Not threatened
Icterus chrysocephalus,Icterus chrysocephalus,Passeriformes,LC,No,Volant,35.4,15.6,Forest,Carnivore,Invertivore,1.5,23.2,14.4,4.3,5.8,23.2,98.6,15.3,83.2,97.4,Not threatened
Icterus croconotus,Icterus croconotus,Passeriformes,LC,No,Volant,44.5,16.9,Woodland,Omnivore,Omnivore,-10.91,25.7,15.5,5.3,7.2,25.6,97,16.1,79.4,93.9,Not threatened
Icterus cucullatus,Icterus cucullatus,Passeriformes,LC,No,Volant,24.3,20,Woodland,Omnivore,Omnivore,29.84,21.2,13.9,4.3,5.2,21.6,83.4,16.4,65.7,91.4,Not threatened
Icterus dominicensis,Icterus dominicensis,Passeriformes,LC,Yes,Volant,35.7,20.8,Forest,Omnivore,Omnivore,18.91,25,16.7,4.6,6.6,22.5,95.3,19.8,75.6,87.4,Not threatened
Icterus fuertesi,Icterus fuertesi,Passeriformes,LC,No,Volant,19,25.4,Forest,Carnivore,Invertivore,19.64,17.3,11.5,4.1,4.7,20.3,73,18.5,54.5,68,Not threatened
Icterus galbula,Icterus galbula,Passeriformes,LC,No,Volant,32.8,27.4,Forest,Omnivore,Invertivore,43.69,21.1,13.3,5,6.4,23.4,92.1,25.5,67.4,73.3,Not threatened
Icterus graceannae,Icterus graceannae,Passeriformes,LC,No,Volant,41.5,19.2,Woodland,Omnivore,Omnivore,-4.71,22.5,14.6,5.4,7.6,27.2,90.4,17.1,72.4,85.8,Not threatened
Icterus graduacauda,Icterus graduacauda,Passeriformes,LC,No,Volant,42.2,18.4,Forest,Omnivore,Omnivore,23,21.8,13.9,5.2,7.5,25.8,87.2,16.1,70.9,91.2,Not threatened
Icterus gularis,Icterus gularis,Passeriformes,LC,No,Volant,55.2,19.1,Woodland,Omnivore,Omnivore,19.14,25.8,18.4,7.5,10,30.8,116.4,22.4,94.1,102.1,Not threatened
Icterus icterus,Icterus icterus,Passeriformes,LC,No,Volant,60.9,16.1,Forest,Omnivore,Omnivore,9,30.6,23.5,6.4,8.5,30,112.6,18.1,94.5,98.1,Not threatened
Icterus jamacaii,Icterus jamacaii,Passeriformes,LC,No,Volant,62.9,17.2,Shrubland,Omnivore,Omnivore,-11.94,25.3,17.6,6,8.2,26.3,101.5,17.3,83.3,99.2,Not threatened
Icterus laudabilis,Icterus laudabilis,Passeriformes,EN,Yes,Volant,36.9,22.2,Forest,Omnivore,Omnivore,13.89,25.4,17.1,5.9,7.7,24.9,105.5,23.4,82.1,105.6,Threatened
Icterus leucopteryx,Icterus leucopteryx,Passeriformes,LC,Yes,Volant,36.9,22.8,Human Modified,Omnivore,Omnivore,18.14,23.8,15.7,5.2,7.4,22.8,101.6,23.4,79.2,86.2,Not threatened
Icterus maculialatus,Icterus maculialatus,Passeriformes,LC,No,Volant,37.4,17.9,Forest,Omnivore,Omnivore,15.37,24.1,13.6,4.8,5.7,24.6,95.9,17.2,78.7,92,Not threatened
Icterus melanopsis,Icterus melanopsis,Passeriformes,LC,Yes,Volant,35.7,23,Forest,Omnivore,Omnivore,21.62,22.7,14,5.2,5.8,22.6,93.2,21.5,71.7,84.1,Not threatened
Icterus mesomelas,Icterus mesomelas,Passeriformes,LC,No,Volant,39.9,14.6,Woodland,Omnivore,Invertivore,11.07,25.9,16.3,5.8,8.1,29.4,96.2,14.1,82.2,104.5,Not threatened
Icterus nigrogularis,Icterus nigrogularis,Passeriformes,LC,No,Volant,40.2,18.9,Woodland,Omnivore,Omnivore,6.93,25.3,15.7,6.3,8.3,24.9,93.4,17.7,75.7,84.7,Not threatened
Icterus northropi,Icterus northropi,Passeriformes,EN,Yes,Volant,40,20.1,Forest,Omnivore,Omnivore,24.49,23.5,15.1,5.2,6.4,23.9,90.1,18.2,72,84.2,Threatened
Icterus oberi,Icterus oberi,Passeriformes,VU,Yes,Volant,35.8,17.9,Forest,Carnivore,Invertivore,16.74,26.2,18,6.4,7.4,24.2,90,16.1,73.9,99,Threatened
Icterus parisorum,Icterus parisorum,Passeriformes,LC,No,Volant,36.5,24.5,Shrubland,Carnivore,Invertivore,29.85,24,15.8,5.3,6.3,22.7,98.9,24,73.7,87.2,Not threatened
Icterus pectoralis,Icterus pectoralis,Passeriformes,LC,No,Volant,46.5,17.6,Woodland,Omnivore,Invertivore,14.37,23.7,14.5,5.3,7.4,27.5,102.8,18,84.2,99.6,Not threatened
Icterus portoricensis,Icterus portoricensis,Passeriformes,LC,Yes,Volant,35.7,20.1,Forest,Omnivore,Omnivore,18.23,25.9,17.1,5.2,6.3,22.2,94.2,18.9,75.3,82.8,Not threatened
Icterus prosthemelas,Icterus prosthemelas,Passeriformes,LC,No,Volant,28,20.7,Forest,Omnivore,Omnivore,16.74,20.6,12.8,4.5,5.7,22.9,83.6,17,65.2,87.8,Not threatened
Icterus pustulatus,Icterus pustulatus,Passeriformes,LC,No,Volant,36.8,18.5,Woodland,Omnivore,Invertivore,19.77,22.9,14.9,5.2,7.5,23.7,95.4,17.7,77.7,87.1,Not threatened
Icterus pyrrhopterus,Icterus pyrrhopterus,Passeriformes,LC,No,Volant,33.3,17.3,Forest,Carnivore,Invertivore,-18.57,19,12.1,4.2,5.7,21.5,91.2,15.8,75.5,90.4,Not threatened
Icterus spurius,Icterus spurius,Passeriformes,LC,No,Volant,19.4,26.9,Forest,Carnivore,Invertivore,36.74,17.2,11.6,4.4,5.3,21.5,77,20.9,56.6,67,Not threatened
Icterus wagleri,Icterus wagleri,Passeriformes,LC,No,Volant,41.8,22.7,Forest,Omnivore,Invertivore,20.69,24.2,15.2,4.5,5.9,23.9,101.2,22.8,77.5,106.2,Not threatened
Icthyophaga humilis,Icthyophaga humilis,Accipitriformes,NT,No,Volant,782,33.1,Wetland,Carnivore,Aquatic predator,9.46,49.5,27.1,13.6,18.6,63,353.2,116.3,234.4,182.8,Not threatened
Icthyophaga ichthyaetus,Icthyophaga ichthyaetus,Accipitriformes,NT,No,Volant,1590,29,Woodland,Carnivore,Aquatic predator,10.81,66.1,36,16.8,25.7,81.7,471.2,134.6,330.4,268.8,Not threatened
Ictinaetus malaiensis,Ictinaetus malaiensis,Accipitriformes,LC,No,Volant,1028,43.2,Forest,Carnivore,Vertivore,9.61,51.5,26.1,13.7,18.6,68.7,552.8,240.5,316.8,314.4,Not threatened
Ictinia mississippiensis,Ictinia mississippiensis,Accipitriformes,LC,No,Volant,276,53.6,Woodland,Carnivore,Invertivore,33.57,23,14.7,11,12.3,37,291.8,156.5,135.2,150.2,Not threatened
Ictinia plumbea,Ictinia plumbea,Accipitriformes,LC,No,Volant,249.9,41.8,Forest,Carnivore,Invertivore,-7.01,23.9,15.1,10.8,13.4,33.2,285.6,117.8,164.9,134.8,Not threatened
Idiopsar brachyurus,Idiopsar brachyurus,Passeriformes,LC,No,Volant,43,20.4,Grassland,Omnivore,Omnivore,-19.12,23.3,16.4,7,8.1,25.8,101.2,20.7,80.6,70,Not threatened
Iduna caligata,Iduna caligata,Passeriformes,LC,No,Volant,8.9,17,Shrubland,Carnivore,Invertivore,54.46,12,7.5,2.8,2.6,19.3,59.4,10.1,49.4,45.6,Not threatened
Iduna natalensis,Iduna natalensis,Passeriformes,LC,No,Volant,11.7,13.8,Shrubland,Carnivore,Invertivore,-8.74,14.6,7.8,4.9,3.4,20.7,61.5,8.4,52.7,60.8,Not threatened
Iduna opaca,Iduna opaca,Passeriformes,LC,No,Volant,9,22.6,Shrubland,Carnivore,Invertivore,33.54,16.7,9.1,4.2,3.3,22.6,68.6,15.5,53.1,57.8,Not threatened
Iduna pallida,Iduna pallida,Passeriformes,LC,No,Volant,9,22.6,Shrubland,Carnivore,Invertivore,36.23,16.6,8.3,3.7,2.9,20.8,64.9,14.7,50.2,53,Not threatened
Iduna rama,Iduna rama,Passeriformes,LC,No,Volant,9.3,18.3,Shrubland,Carnivore,Invertivore,40.31,17.8,8.7,3.1,2.6,18.5,60.6,11.2,49.9,52,Not threatened
Iduna similis,Iduna similis,Passeriformes,LC,No,Volant,11.1,12.3,Forest,Carnivore,Invertivore,-3.24,15.6,7.6,4.4,3,22.2,59.9,7.3,52,57.1,Not threatened
Ifrita kowaldi,Ifrita kowaldi,Passeriformes,LC,No,Volant,32.1,12.2,Forest,Carnivore,Invertivore,-5.87,16.3,10,4.1,4.7,26.8,79.8,9.8,70.4,54.2,Not threatened
Ilicura militaris,Ilicura militaris,Passeriformes,LC,No,Volant,12.7,22.6,Forest,Omnivore,Frugivore,-21.4,9.4,5.2,2.8,3.1,17.8,61.2,13.8,46.9,50.8,Not threatened
Illadopsis albipectus,Illadopsis albipectus,Passeriformes,LC,No,Volant,30.6,9,Forest,Carnivore,Invertivore,-0.24,16.2,8.2,3.4,4.5,27.1,73.2,6.6,66.6,54.4,Not threatened
Illadopsis cleaveri,Illadopsis cleaveri,Passeriformes,LC,No,Volant,30.8,6.1,Forest,Carnivore,Invertivore,3.23,15.8,8.7,3.2,4.3,25.5,72.7,4.2,64.6,58,Not threatened
Illadopsis distans,Illadopsis distans,Passeriformes,LC,No,Volant,22.2,10.5,Forest,Carnivore,Invertivore,-6.76,18,9.5,3.6,4.3,26.1,70.2,7.4,62.7,64.5,Not threatened
Illadopsis fulvescens,Illadopsis fulvescens,Passeriformes,LC,No,Volant,27.9,9.1,Forest,Carnivore,Invertivore,0.99,18.9,10.7,4.3,4.9,23.5,70,6.6,65.9,58.1,Not threatened
Illadopsis puveli,Illadopsis puveli,Passeriformes,LC,No,Volant,48.4,6.3,Forest,Carnivore,Invertivore,6.91,17.8,9.4,3.9,5.3,30.7,84.2,5.2,77.8,67.2,Not threatened
Illadopsis pyrrhoptera,Illadopsis pyrrhoptera,Passeriformes,LC,No,Volant,24.8,10.4,Forest,Carnivore,Invertivore,-1.8,15.3,8.6,3.3,4,23,70.8,7.4,63.4,55.5,Not threatened
Illadopsis rufescens,Illadopsis rufescens,Passeriformes,NT,No,Volant,37,7.9,Forest,Carnivore,Invertivore,6.69,16.8,9,3.5,4.9,27.5,78.5,6.2,72.4,70.4,Not threatened
Illadopsis rufipennis,Illadopsis rufipennis,Passeriformes,LC,No,Volant,22.2,9.9,Forest,Carnivore,Invertivore,2.27,17.1,9.7,3.3,4.4,23.4,69.3,7.2,64.6,56.6,Not threatened
Illadopsis turdina,Illadopsis turdina,Passeriformes,LC,No,Volant,65.8,10.6,Forest,Carnivore,Invertivore,-4.44,22.6,11.7,4.3,5.5,34.3,104.8,11,93.7,78,Not threatened
Incana incana,Incana incana,Passeriformes,LC,Yes,Volant,10.4,9.9,Shrubland,Carnivore,Invertivore,12.51,13.3,8,2.5,2.6,18.8,49.5,5,44.5,47,Not threatened
Incaspiza laeta,Incaspiza laeta,Passeriformes,LC,No,Volant,22,8.7,Shrubland,Omnivore,Omnivore,-8.02,15.3,9.2,4.6,5.5,23.4,64.5,5.6,58.9,58.4,Not threatened
Incaspiza ortizi,Incaspiza ortizi,Passeriformes,LC,No,Volant,32.4,13.4,Shrubland,Herbivore,Omnivore,-6.7,19,12.1,5.4,6.8,27.6,71,9.5,61.5,71.9,Not threatened
Incaspiza personata,Incaspiza personata,Passeriformes,LC,No,Volant,33.2,9.2,Shrubland,Omnivore,Omnivore,-9.62,16.5,9.5,5.2,7,26.2,71.5,6.7,64.9,74,Not threatened
Incaspiza pulchra,Incaspiza pulchra,Passeriformes,LC,No,Volant,27.6,8.6,Shrubland,Herbivore,Omnivore,-10.65,16.7,11.3,5.8,7.6,23,68.7,5.9,62.8,66.3,Not threatened
Incaspiza watkinsi,Incaspiza watkinsi,Passeriformes,NT,No,Volant,20.4,9.6,Shrubland,Omnivore,Omnivore,-5.57,14.6,9.4,5.2,5.6,23.2,62,6,56,46.8,Not threatened
Indicator archipelagicus,Indicator archipelagicus,Piciformes,NT,No,Volant,32.4,21.1,Forest,Carnivore,Invertivore,1.12,13.8,7.4,4,5.5,13.1,88.8,18.8,70,58.2,Not threatened
Indicator exilis,Indicator exilis,Piciformes,LC,No,Volant,17.9,20,Forest,Carnivore,Invertivore,1.24,8.4,5,4,4.3,13,68.8,13.8,55,43.4,Not threatened
Indicator indicator,Indicator indicator,Piciformes,LC,No,Volant,50.4,25.7,Shrubland,Carnivore,Invertivore,-3.53,17.6,8.3,4.9,5.6,16.3,108.5,28.1,81,70.1,Not threatened
Indicator maculatus,Indicator maculatus,Piciformes,LC,No,Volant,46.8,19.6,Forest,Carnivore,Invertivore,4.06,13.4,7.6,4.5,5.8,16.8,97.6,19.2,78.8,61.6,Not threatened
Indicator meliphilus,Indicator meliphilus,Piciformes,LC,No,Volant,14,22,Woodland,Carnivore,Invertivore,-10.78,7.3,4.6,4,4.2,13.2,72.6,16,56.6,44.8,Not threatened
Indicator minor,Indicator minor,Piciformes,LC,No,Volant,28.2,21.3,Woodland,Carnivore,Invertivore,-3.05,10.9,6.3,4.9,5.2,14.6,89.5,19.1,70.6,58.4,Not threatened
Indicator pumilio,Indicator pumilio,Piciformes,LC,No,Volant,13.1,19,Forest,Carnivore,Invertivore,-2.13,6.4,4.3,3.9,4.6,12.3,63,12,51,36,Not threatened
Indicator variegatus,Indicator variegatus,Piciformes,LC,No,Volant,48.8,21.9,Woodland,Carnivore,Invertivore,-10.55,13.6,7.6,5,5.6,16.5,107.8,23.6,84.6,66.5,Not threatened
Indicator willcocksi,Indicator willcocksi,Piciformes,LC,No,Volant,15.4,20.5,Forest,Carnivore,Invertivore,3.54,8.1,5.1,4,4.8,13.4,70.3,14.5,56.1,43.8,Not threatened
Indicator xanthonotus,Indicator xanthonotus,Piciformes,NT,No,Volant,30.4,28.2,Wetland,Carnivore,Invertivore,28.36,9.9,5.1,3.6,4.7,13.9,89.4,25,63.3,53.5,Not threatened
Inezia caudata,Inezia caudata,Passeriformes,LC,No,Volant,7.5,10.5,Forest,Carnivore,Invertivore,8.35,10,6.4,3.6,3.1,16.8,48.5,5.1,43.4,49.5,Not threatened
Inezia inornata,Inezia inornata,Passeriformes,LC,No,Volant,12,16.7,Woodland,Carnivore,Invertivore,-18.5,9.9,6.1,3,2.4,15.3,47.5,8,39.5,44.6,Not threatened
Inezia subflava,Inezia subflava,Passeriformes,LC,No,Volant,8.4,12.1,Forest,Carnivore,Invertivore,-2.88,12.2,7.2,3.9,3,16.2,45.5,5.5,40,46,Not threatened
Inezia tenuirostris,Inezia tenuirostris,Passeriformes,LC,No,Volant,5,12.8,Woodland,Carnivore,Invertivore,11.14,10,5.8,2.8,2.6,15,43.2,5.5,37.7,38.9,Not threatened
Iodopleura fusca,Iodopleura fusca,Passeriformes,LC,No,Volant,15.3,28,Forest,Carnivore,Invertivore,4.62,10.9,7.4,5.9,4.4,15.6,75.8,21.2,54.6,37.6,Not threatened
Iodopleura isabellae,Iodopleura isabellae,Passeriformes,LC,No,Volant,20,25.9,Forest,Carnivore,Invertivore,-4.75,11.5,6.5,5.2,4.1,13.7,74.2,19.4,55.5,37.2,Not threatened
Iodopleura pipra,Iodopleura pipra,Passeriformes,EN,No,Volant,10,24.1,Forest,Herbivore,Frugivore,-22.35,8.2,4.5,3.6,3.5,13.9,56.6,13.7,43,32,Threatened
Iole charlottae,Iole charlottae,Passeriformes,NT,No,Volant,24,17.9,Forest,Omnivore,Omnivore,1.15,20.6,13.2,5.3,5.4,18.5,87.3,15.6,72,72,Not threatened
Iole finschii,Iole finschii,Passeriformes,NT,No,Volant,24.2,19,Forest,Omnivore,Omnivore,0.81,17.5,11.6,4.7,5.6,15.9,84.8,16.2,68.6,67.2,Not threatened
Iole palawanensis,Iole palawanensis,Passeriformes,LC,No,Volant,26.8,15.8,Forest,Omnivore,Omnivore,9.73,19.4,11.4,4.8,5.1,17.8,83.9,13.2,70.6,74,Not threatened
Iole propinqua,Iole propinqua,Passeriformes,LC,No,Volant,25.9,16.1,Forest,Omnivore,Omnivore,17.87,19.3,11.5,5.1,5.1,18,84.6,13.6,70.9,83.4,Not threatened
Iole viridescens,Iole viridescens,Passeriformes,LC,No,Volant,25.9,16.1,Forest,Herbivore,Frugivore,20.46,19,11.5,4.8,5.2,18.3,87,13.6,70.9,84,Not threatened
Irania gutturalis,Irania gutturalis,Passeriformes,LC,No,Volant,21.6,24.6,Shrubland,Carnivore,Invertivore,37.18,18.9,10.7,3.3,4,25.1,94,23.1,70.8,72.9,Not threatened
Irediparra gallinacea,Irediparra gallinacea,Charadriiformes,LC,No,Volant,98.8,32.4,Wetland,Omnivore,Aquatic predator,-13.01,28.1,14.6,3.4,5.2,58.9,135.1,43.9,91.7,41.2,Not threatened
Irena cyanogastra,Irena cyanogastra,Passeriformes,NT,Yes,Volant,80.3,21.4,Forest,Herbivore,Frugivore,11.97,28.7,19.6,8.7,11.3,21.1,132.5,28.4,104.5,104.9,Not threatened
Irena puella,Irena puella,Passeriformes,LC,No,Volant,64.9,25.3,Forest,Herbivore,Frugivore,11.14,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,91.8,Not threatened
Irena tweeddalii,Irena tweeddalii,Passeriformes,NT,No,Volant,64.9,25.3,Forest,Herbivore,Frugivore,9.93,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,91.8,Not threatened
Iridophanes pulcherrimus,Iridophanes pulcherrimus,Passeriformes,LC,No,Volant,15.3,24.1,Forest,Herbivore,Frugivore,-6.65,15.9,9.1,4,4,16.2,66.6,16.2,50.6,40,Not threatened
Iridosornis analis,Iridosornis analis,Passeriformes,LC,No,Volant,26,17.9,Forest,Omnivore,Invertivore,-7.42,14.6,8.6,5.5,7.2,22.7,79,14.1,65,68.8,Not threatened
Iridosornis jelskii,Iridosornis jelskii,Passeriformes,LC,No,Volant,20,16.8,Forest,Herbivore,Frugivore,-12.64,12.6,6.7,4.2,6.4,23.9,72.7,12.2,60.5,64.7,Not threatened
Iridosornis porphyrocephalus,Iridosornis porphyrocephalus,Passeriformes,NT,No,Volant,21.7,16.8,Forest,Omnivore,Frugivore,4.61,15.8,8.4,4.8,6.8,22.2,75.2,12.7,62.6,58.9,Not threatened
Iridosornis reinhardti,Iridosornis reinhardti,Passeriformes,LC,No,Volant,24,18.2,Forest,Herbivore,Frugivore,-9.5,14.7,7.8,4.5,7,23.7,82.9,15.1,67.8,72.4,Not threatened
Iridosornis rufivertex,Iridosornis rufivertex,Passeriformes,LC,No,Volant,23,17.8,Forest,Omnivore,Omnivore,1.36,14.2,8.2,4.4,6.9,24.7,83.6,14.9,69,70,Not threatened
Isleria guttata,Isleria guttata,Passeriformes,LC,No,Volant,11,10.5,Forest,Carnivore,Invertivore,2.41,16.2,9.1,3.4,3.5,18.3,51.5,5.5,45.1,24.5,Not threatened
Isleria hauxwelli,Isleria hauxwelli,Passeriformes,LC,No,Volant,10.7,15.6,Forest,Carnivore,Invertivore,-6.55,15,8.5,3.6,3.4,18.9,50.5,7.8,43.2,24.8,Not threatened
Islerothraupis cristata,Islerothraupis cristata,Passeriformes,LC,No,Volant,18.8,19.2,Forest,Omnivore,Omnivore,-4.74,15.9,11.1,5.6,6.9,18.2,76.2,14.2,60,70.4,Not threatened
Islerothraupis luctuosa,Islerothraupis luctuosa,Passeriformes,LC,No,Volant,13,17.6,Forest,Carnivore,Invertivore,-4.22,14,9.9,4.9,5.5,17.3,62.1,10.8,50.5,54,Not threatened
Islerothraupis rufiventer,Islerothraupis rufiventer,Passeriformes,LC,No,Volant,19,17.9,Forest,Omnivore,Invertivore,-8.11,16.3,10.3,4.7,5.8,17.6,74.7,13.3,61.2,70,Not threatened
Ispidina lecontei,Ispidina lecontei,Coraciiformes,LC,No,Volant,9.5,24.3,Forest,Carnivore,Invertivore,1.55,27.7,22.2,6.3,4.9,6.8,47.7,11.2,34.8,20.3,Not threatened
Ispidina picta,Ispidina picta,Coraciiformes,LC,No,Volant,12.7,23.2,Forest,Carnivore,Invertivore,-0.83,27.4,21.1,6.4,6.1,8.4,52.3,12.1,40.3,25,Not threatened
Ithaginis cruentus,Ithaginis cruentus,Galliformes,LC,No,Volant,530.7,25.1,Shrubland,Herbivore,Omnivore,31.22,24.5,12.1,9.7,10.1,61,195.7,48.7,145,142.5,Not threatened
Ixidia cyaniventris,Ixidia cyaniventris,Passeriformes,NT,No,Volant,22,17.5,Forest,Herbivore,Frugivore,1.51,14.6,8.6,3.9,3.9,14.2,75.6,13.4,62.8,58.6,Not threatened
Ixidia erythropthalmos,Ixidia erythropthalmos,Passeriformes,LC,No,Volant,19.2,14.4,Forest,Herbivore,Frugivore,1.11,13.6,8.6,3.8,3.7,16,74.2,10.8,63.6,63.8,Not threatened
Ixidia squamata,Ixidia squamata,Passeriformes,NT,No,Volant,22,17.8,Forest,Herbivore,Frugivore,1.25,14.4,7.2,4.1,3.7,15.2,73.8,13.1,60.7,60.2,Not threatened
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,Pelecaniformes,LC,No,Volant,126.5,25.6,Human Modified,Carnivore,Aquatic predator,19.79,58.7,40.6,6.6,10.6,46.9,144.3,36.1,105.1,40.4,Not threatened
Ixobrychus dubius,Ixobrychus dubius,Pelecaniformes,LC,No,Volant,83.9,33.3,Wetland,Carnivore,Aquatic predator,-31.21,51.2,34,5.7,8.1,42.1,131.5,43.8,87.7,41.5,Not threatened
Ixobrychus eurhythmus,Ixobrychus eurhythmus,Pelecaniformes,LC,No,Volant,139,33.4,Wetland,Carnivore,Aquatic predator,41.99,57.2,38.3,6.6,10.4,45.8,143.4,47.4,94.6,40.6,Not threatened
Ixobrychus exilis,Ixobrychus exilis,Pelecaniformes,LC,No,Volant,86.3,29,Wetland,Carnivore,Aquatic predator,21.34,47.8,34.7,5.5,7.8,37.9,107.8,30.6,75,40.8,Not threatened
Ixobrychus flavicollis,Ixobrychus flavicollis,Pelecaniformes,LC,No,Volant,321,30.4,Wetland,Carnivore,Aquatic predator,10.74,87.5,66.2,9.3,13.1,64.8,201.2,58.8,134.2,61.5,Not threatened
Ixobrychus involucris,Ixobrychus involucris,Pelecaniformes,LC,No,Volant,80.1,33.5,Wetland,Carnivore,Aquatic predator,-24.33,53.1,36.3,5.6,7.4,40.7,115.4,37.9,75.4,43.2,Not threatened
Ixobrychus minutus,Ixobrychus minutus,Pelecaniformes,LC,No,Volant,99.5,37.2,Wetland,Carnivore,Aquatic predator,22.56,57.2,39.4,6.1,8.9,48.4,142.6,52.3,88.2,47.6,Not threatened
Ixobrychus sinensis,Ixobrychus sinensis,Pelecaniformes,LC,No,Volant,94.3,31,Wetland,Carnivore,Aquatic predator,23.86,62.4,43.7,6,8.2,42.4,129.4,39.6,88.4,40.8,Not threatened
Ixobrychus sturmii,Ixobrychus sturmii,Pelecaniformes,LC,No,Volant,140,32.8,Wetland,Carnivore,Aquatic predator,-2.48,46.2,32,7,9.2,46.5,155.8,51.1,104.9,56,Not threatened
Ixonotus guttatus,Ixonotus guttatus,Passeriformes,LC,No,Volant,35.2,19.9,Forest,Omnivore,Frugivore,0.85,15.7,9.1,3.9,4.3,17.8,87.2,17.4,69.9,74.6,Not threatened
Ixoreus naevius,Ixoreus naevius,Passeriformes,LC,No,Volant,77.5,33.4,Forest,Omnivore,Omnivore,59.59,23.7,15,4.5,6.1,31.1,121.6,40.3,80.4,85.2,Not threatened
Ixos malaccensis,Ixos malaccensis,Passeriformes,NT,No,Volant,37.3,19.4,Forest,Omnivore,Frugivore,1.45,26,17.2,5.2,6.5,16.9,104,20.1,83.9,84.2,Not threatened
Ixos mcclellandii,Ixos mcclellandii,Passeriformes,LC,No,Volant,32.5,18.1,Woodland,Omnivore,Omnivore,24.56,26,15.8,5,5.5,18.3,106,19.2,86.8,107.8,Not threatened
Ixos nicobariensis,Ixos nicobariensis,Passeriformes,NT,Yes,Volant,36,18.4,Forest,Omnivore,Omnivore,8.09,23.3,13.2,5.2,6.2,20.2,97.4,17.8,79.2,93.5,Not threatened
