species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Contopus punensis,Contopus punensis,Passeriformes,LC,No,Volant,12.3,21,Forest,Carnivore,Invertivore,-6.31,16.8,10.1,6.1,3.4,13.9,68.9,14.6,54.3,62.4,Not threatened
Contopus sordidulus,Contopus sordidulus,Passeriformes,LC,No,Volant,13.1,33.5,Forest,Carnivore,Invertivore,45.91,16.4,9.2,6.4,4.1,13.8,82.6,29,57.7,60.2,Not threatened
Contopus virens,Contopus virens,Passeriformes,LC,No,Volant,13.9,31,Forest,Carnivore,Invertivore,40.17,14.3,10,6.3,4,14.2,81,25.6,57,62.7,Not threatened
Copsychus albospecularis,Copsychus albospecularis,Passeriformes,LC,Yes,Volant,22.7,12.3,Forest,Carnivore,Invertivore,-19.43,16.9,10.6,4.1,4.9,24.4,71.7,8.8,62.8,69.4,Not threatened
Copsychus mindanensis,Copsychus mindanensis,Passeriformes,LC,Yes,Volant,32.9,19.1,Woodland,Carnivore,Invertivore,11.83,23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,84,Not threatened
Copsychus pica,Copsychus pica,Passeriformes,LC,Yes,Volant,22.7,19.1,Forest,Carnivore,Invertivore,-19.35,23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,84,Not threatened
Copsychus saularis,Copsychus saularis,Passeriformes,LC,No,Volant,36,19.1,Woodland,Carnivore,Invertivore,19.34,23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,84,Not threatened
Copsychus sechellarum,Copsychus sechellarum,Passeriformes,EN,Yes,Volant,70.7,16.3,Forest,Carnivore,Omnivore,-4.23,26.3,16.9,5.7,6.6,36.5,116.2,19,97.1,99.9,Threatened
Coracias abyssinicus,Coracias abyssinicus,Coraciiformes,LC,No,Volant,102,30.2,Shrubland,Carnivore,Invertivore,10.49,35.8,24.3,9.2,12.5,22.1,155.2,46.5,107.5,124.8,Not threatened
Coracias affinis,Coracias affinis,Coraciiformes,LC,No,Volant,157.5,27.7,Human Modified,Carnivore,Omnivore,19.9,43,29.6,10.6,14.3,26.6,190.3,52.9,137.9,126.7,Not threatened
