avonet_species_name,species,name_change,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat.x,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat.y,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Ardea alba,Ardea alba,0,Pelecaniformes,LC,No,Volant,871.3,32.1,Wetland,Carnivore,Aquatic predator,10.02,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,140.5,Ardeidae,LC,0,17.84918775,6.77002078,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,none,Wetland,No,1.316982561,1.164674202,3.802208139
Pachyptila belcheri,Pachyptila belcheri,0,Procellariiformes,LC,No,Volant,145,57.7,Marine,Carnivore,Aquatic predator,-45.16,28.5,21,7.6,6.9,30.2,175.8,101,74,80.4,Procellariidae,LC,0,17.84538269,4.976733742,AquaticAnimals,AquaticSurface,Sedentary,NonCooperative,Cavity,none,Sea,No,0,0.514368672,4.432006567
Puffinus puffinus,Puffinus puffinus,0,Procellariiformes,LC,No,Volant,453.3,61.6,Marine,Carnivore,Aquatic predator,3.05,34.6,27.3,6.4,7.9,41.7,232.5,143.2,89.2,73.8,Procellariidae,LC,0,17.78528549,6.116465912,AquaticAnimals,ForagingGeneralist,Migratory,NonCooperative,Cavity,none,Sea,No,0,0.588566191,5.39906727
Pterodroma ultima,Pterodroma ultima,0,Procellariiformes,LC,Yes,Volant,360,67.3,Marine,Carnivore,Aquatic predator,-2.48,27,19.8,7.5,9.8,33.5,260,175,85,112,Procellariidae,NT,0,17.78000846,5.886104031,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,ExposedElevated,none,Sea,No,0,0.4949232,3.45946629
Gallinula chloropus,Gallinula chloropus,0,Gruiformes,LC,No,Volant,339.6,32.2,Wetland,Omnivore,Omnivore,27.57,33.9,13.2,4.3,8.1,45.9,165.5,53,110.5,69,Rallidae,LC,0,17.77225703,5.82785679,Generalist,GroundForaging,Sedentary,Cooperative,ExposedGround,weak,Wetland,No,2.251291799,1.362871073,4.613138356
Corvus corax,Corvus corax,0,Passeriformes,LC,No,Volant,928,39.8,Forest,Omnivore,Omnivore,54.65,77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,228.7,Corvidae,LC,0,17.77208443,6.832999405,Generalist,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.609437912,1.067789972,2.980618636
Hirundo rustica,Hirundo rustica,0,Passeriformes,LC,No,Volant,17.9,52.6,Human Modified,Carnivore,Invertivore,47.56,12.4,6,4.5,2.7,11.7,115.8,62.3,56,71.4,Hirundinidae,LC,0,17.76092926,2.885359216,Invertebrates,AerialScreaning,Migratory,NonCooperative,Cavity,none,Terrestrial,No,1.504077397,1.27948058,3.990834186
Thalassarche steadi,Thalassarche steadi,0,Procellariiformes,NT,No,Volant,3897.7,17.2,Marine,Carnivore,Aquatic predator,-43.75,124,92.6,25.2,41.5,90,580,99.5,480.5,218,Diomedeidae,NT,0,17.75280632,8.268141915,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.74927053
Puffinus nativitatis,Puffinus nativitatis,0,Procellariiformes,LC,Yes,Volant,356,62.6,Marine,Carnivore,Aquatic predator,2.39,29.1,22.3,5.7,8.1,40.7,235.5,147.5,88,86.5,Procellariidae,LC,0,17.74560643,5.874930731,AquaticAnimals,AquaticPlunge,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,5.366443196
Phoebastria nigripes,Phoebastria nigripes,0,Procellariiformes,NT,No,Volant,3188.4,64.7,Marine,Carnivore,Aquatic predator,14.59,101.2,67.8,23.8,30.8,87.4,476,313.2,171.2,136,Diomedeidae,NT,0,17.74389442,8.067277639,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.437934267
Pterodroma heraldica,Pterodroma heraldica,0,Procellariiformes,LC,No,Volant,394,64.8,Marine,Carnivore,Aquatic predator,-12.02,27,21.8,8.2,9,34.1,281,182,99,110,Procellariidae,LC,0,17.74057826,5.976350909,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,ExposedElevated,none,Sea,No,0,0.4949232,4.333361463
Nycticorax nycticorax,Nycticorax nycticorax,0,Pelecaniformes,LC,No,Volant,810,33.1,Wetland,Carnivore,Aquatic predator,11.6,80.5,56.7,12.1,18.6,69.2,285.7,92.7,187.8,95.8,Ardeidae,LC,0,17.73428969,6.697034248,AquaticAnimals,GroundForaging,Migratory,NonCooperative,ExposedElevated,none,Wetland,No,1.504077397,1.290089802,4.548599834
Hydrobates pelagicus,Hydrobates pelagicus,0,Procellariiformes,LC,No,Volant,25.2,59,Marine,Carnivore,Aquatic predator,12.19,13.7,6.1,2.3,3.5,22.2,119,69.8,48.5,54.6,Hydrobatidae,LC,0,17.73375441,3.226843995,AquaticAnimals,AerialScreaning,Migratory,NonCooperative,Cavity,none,Sea,No,0,0.588566191,5.758901774
Pterodroma mollis,Pterodroma mollis,0,Procellariiformes,LC,No,Volant,312,65.1,Marine,Carnivore,Aquatic predator,-43.32,27.1,19.4,7,9.1,32.3,243.2,158.2,85,95,Procellariidae,LC,0,17.7280007,5.743003188,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.4949232,4.938064601
Pseudobulweria rostrata,Pseudobulweria rostrata,0,Procellariiformes,NT,No,Volant,409,66.9,Marine,Carnivore,Aquatic predator,-8.04,34.8,26.4,9.6,11.8,44.8,282.5,189,93.5,103.5,Procellariidae,NT,0,17.71886949,6.013715156,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.4949232,4.237000863
Pterodroma leucoptera,Pterodroma leucoptera,0,Procellariiformes,VU,No,Volant,147.1,66.5,Marine,Carnivore,Aquatic predator,-22.4,25.2,17.8,5.9,7.7,28.9,212,141,71,90,Procellariidae,VU,1,17.71248446,4.990772665,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.4949232,4.576770711
Pachyptila vittata,Pachyptila vittata,0,Procellariiformes,LC,No,Volant,196,55.1,Marine,Carnivore,Aquatic predator,-39.38,38,29.4,20,14.4,33.4,195.2,107.5,87.8,94.5,Procellariidae,LC,0,17.70183464,5.278114659,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,4.722063937
Bubulcus ibis,Bubulcus ibis,0,Pelecaniformes,LC,No,Volant,366,29.9,Human Modified,Carnivore,Omnivore,5.1,63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,90.9,Ardeidae,LC,0,17.70128135,5.902496712,Generalist,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,none,Terrestrial,No,1.504077397,1.19802755,3.56671182
Thalasseus bergii,Thalasseus bergii,0,Charadriiformes,LC,No,Volant,328,69.9,Coastal,Carnivore,Aquatic predator,-10.25,68.6,44.5,7.1,12.7,30,357.8,249,107.5,172.4,Laridae,LC,0,17.68178159,5.793013608,AquaticAnimals,AquaticPlunge,Migratory,NonCooperative,ExposedGround,none,Coastal,No,0.693147181,0.622332977,5.48438191
Pterodroma longirostris,Pterodroma longirostris,0,Procellariiformes,VU,No,Volant,143,61.1,Marine,Carnivore,Aquatic predator,10.33,23.4,17,4.8,6.9,27.2,212.2,129.8,82.5,105.8,Procellariidae,VU,1,17.67541347,4.96284463,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.4949232,4.92797806
Phoebastria albatrus,Phoebastria albatrus,0,Procellariiformes,VU,No,Volant,4411,66.3,Marine,Carnivore,Aquatic predator,34.87,135,91.3,25,38.5,92.3,549.2,364.8,186,147,Diomedeidae,VU,1,17.67234161,8.3918567,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.829912459
Butorides striata,Butorides striata,0,Pelecaniformes,LC,No,Volant,201.5,29.8,Wetland,Carnivore,Aquatic predator,7.56,69.2,51.8,9.1,11.2,49.7,175.9,53.2,125.5,63.6,Ardeidae,LC,0,17.67130258,5.305789381,AquaticAnimals,GroundForaging,Sedentary,NonCooperative,ExposedElevated,none,Wetland,No,1.504077397,1.172507019,4.523960131
Thalassarche eremita,Thalassarche eremita,0,Procellariiformes,VU,No,Volant,3897.7,47.9,Marine,Carnivore,Aquatic predator,-32.77,127.2,91.4,23.5,39.5,93.6,542,259.5,282.5,204.5,Diomedeidae,VU,1,17.66503402,8.268141915,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.4949232,4.182050143
Thalassarche salvini,Thalassarche salvini,0,Procellariiformes,VU,No,Volant,3897.7,62.1,Marine,Carnivore,Aquatic predator,-43.18,127.3,96.9,25.4,39.4,79.2,558,346.7,211.3,208,Diomedeidae,VU,1,17.66342902,8.268141915,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.644390899
Ardea cinerea,Ardea cinerea,0,Pelecaniformes,LC,No,Volant,1443,34.6,Wetland,Carnivore,Aquatic predator,27.14,138.9,95.5,18.7,25.4,137.9,441,152.7,287.9,169.1,Ardeidae,LC,0,17.65301418,7.274479559,AquaticAnimals,GroundForaging,Sedentary,NonCooperative,ExposedElevated,none,Wetland,No,1.704748092,1.210903724,4.375757022
