order,family,species,IUCN_status,origin,latitude,longitude,elevation,acclimated,life_stage_acclimated,acclimation_temp,acclimation_time,life_stage_tested,metric,endpoint,medium_test_temp,start_temp,ramping,photoperiod,mean_UTL,n_UTL
Anura,Pipidae,Xenopus laevis,LC,supplier,NA,NA,NA,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,37.5971223,8
Anura,Pipidae,Xenopus laevis,LC,supplier,NA,NA,NA,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,37,12
Anura,Pipidae,Xenopus laevis,LC,supplier,NA,NA,NA,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,37.5971223,13
Anura,Pipidae,Xenopus laevis,LC,supplier,NA,NA,NA,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,36.50359712,9
Anura,Pipidae,Xenopus laevis,LC,supplier,NA,NA,NA,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,35.50359712,9
Anura,Pipidae,Xenopus laevis,LC,supplier,NA,NA,NA,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,37.29496403,12
Anura,Pipidae,Xenopus laevis,LC,supplier,NA,NA,NA,acclimated,juveniles,21,11,juveniles,CTmax,prodding,water,21,1,12,37.1942446,7
Anura,Bufonidae,Rhinella marina,LC,supplier,NA,NA,NA,acclimated,adults,25,7.333333333,adults,CTmax,LRR,body,25,0.75,NA,39.3019943,7
Anura,Bufonidae,Rhinella marina,LC,supplier,NA,NA,NA,acclimated,adults,32,0.333333333,adults,CTmax,LRR,body,32,0.75,NA,40.27635328,6
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,42.2,10
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,43.07142857,14
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,42.6,15
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,43.15384615,13
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,42.66666667,15
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,43.71875,16
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,42.57692308,13
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,42.69230769,13
Anura,Leptodactylidae,Physalaemus cuvieri,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,40.4375,16
Anura,Leptodactylidae,Physalaemus cuvieri,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,41.92857143,14
Anura,Leptodactylidae,Physalaemus cuvieri,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,39.90909091,11
Anura,Leptodactylidae,Physalaemus cuvieri,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,41.91666667,12
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,41.75,16
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,44.13333333,15
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,43.1,10
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,44,11
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,43,16
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,44.0625,16
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,42.875,16
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,44.0625,16
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,43.1875,16
Anura,Leptodactylidae,Pleurodema diplolister,LC,wild,-5.65,-36.6,103,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,44.73333333,15
Anura,Bufonidae,Rhinella granulosa,LC,wild,-5.65,-36.6,103,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,43,8
Anura,Bufonidae,Rhinella granulosa,LC,wild,-5.65,-36.6,103,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,44.38461538,13
Anura,Bufonidae,Rhinella icterica,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,42.5,16
Anura,Bufonidae,Rhinella icterica,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,43.25,8
Anura,Bufonidae,Rhinella icterica,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,41.46666667,15
Anura,Bufonidae,Rhinella icterica,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,42.5,14
Anura,Bufonidae,Rhinella ornata,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,20,3,larvae,CTmax,prodding,water,20,0.905,12,39.5,16
Anura,Bufonidae,Rhinella ornata,LC,wild,-23.6334,-45.8667,936,acclimated,larvae,30,3,larvae,CTmax,prodding,water,30,0.905,12,42.46666667,15
Anura,Bombinatoridae,Bombina variegata,LC,wild,46.038889,25.2225,519,field-fresh,NA,NA,NA,adults,CTmax,OS,water,NA,NA,NA,40.3,30
Anura,Ranidae,Rana chensinensis,LC,wild,36.1,108.9,420,acclimated,larvae,10,14,larvae,CTmax,LRR,water,NA,NA,14,28.8,50
Anura,Ranidae,Rana chensinensis,LC,wild,36.1,108.9,420,acclimated,larvae,15,14,larvae,CTmax,LRR,water,NA,NA,14,30.2,50
